spotify_id,galiboo_id,anger,happiness,neutral,sadness,surprise
5PkKmEWhfJ9jHVHXbZl0Ks,5a418df68cc3d0d2d423d12a,0.2297969505,0.1974546453,0.4130562365,0.0908697993,0.0688223683
3JFsVIxOn7STeilPICkkB2,5a3fcb49d836490c1870acec,0.2428999038,0.2485431527,0.3823200941,0.0739917536,0.0522450957
31TPClRtHm23RisEBtV3X7,5a41bc398cc3d0d2d42a9aea,0.295267067,0.2211196908,0.38389413,0.057459264,0.0422598483
12Chz98pHFMPJEknJQMWvI,5a41adf28cc3d0d2d426be8f,0.2511420808,0.2401809043,0.3978706065,0.0696382427,0.0411681656
4WRI9YH6mHZQTgQWcMbdqm,5a3fb008d836490c186f4be4,0.245294652,0.2298373627,0.4005228562,0.0760611078,0.0482840213
5jX8L7D6vWHYlNj9k361vI,5a4191c78cc3d0d2d423fa26,0.242172212,0.2481331324,0.4014055826,0.0693507338,0.0389383392
3VEqFWRt47xQAZJMBF3duQ,5a3fc59bd836490c18705b1c,0.2975631523,0.1827702211,0.2842199733,0.0368119321,0.1986347213
1AbCznaNeD0vCCLLQUpTjC,5a41c0458cc3d0d2d42abec7,0.2444062512,0.2433072702,0.2238012023,0.0422304274,0.2462548489
1C1x4MVkql8AiABuTw6DgE,5a4193228cc3d0d2d4240aeb,0.2871195662,0.2129790644,0.2411475956,0.0300533268,0.228700447
2KjAo6wVc9d2WcxdxSArpV,5a3fba55d836490c186fc9e5,0.2600515545,0.1603142997,0.4122337105,0.072072046,0.0953283893
6Evthx116K8vsZKghwceoh,5a419ab98cc3d0d2d4246e35,0.2282857649,0.2498971017,0.4018882284,0.0780950554,0.0418338496
5Il8YjuVAWkWNH2xgjFMpF,5a3faeddd836490c186f3ad9,0.211176832,0.175550383,0.3933215468,0.1162925274,0.1036587108
0fauHpmSHwodVYIjTqOGHz,5a3fb185d836490c186f601e,0.3109263367,0.1612540416,0.2946608771,0.0384826815,0.1946760631
2NxFqOk7uZCe0hxfohdWJX,5a3fe8e3d836490c1871f51e,0.2253333746,0.2677368202,0.2183868857,0.032684622,0.2558582974
4pcyVhXMRbYVm8GEg1uqkF,5a41b6e58cc3d0d2d429f0eb,0.2309585721,0.2267830173,0.2652571383,0.0454287204,0.231572552
6gkHVRYMMXviNI4DglaLrr,5a3fda47d836490c18715414,0.2164063436,0.2265195789,0.3900668183,0.1027885742,0.0642186849
2LFckOYhr4hG0PtLqHYWkz,5a3fcffdd836490c1870d95a,0.282950557,0.1918517998,0.2750627736,0.0419672494,0.2081676202
3DVo02zCQ7iZKujFgRLMXL,5a41a14d8cc3d0d2d424bab3,0.1994372098,0.2194413685,0.429851611,0.1027020403,0.0485677704
5LS9IzpE6W6Aw25KverdM9,5a3fb549d836490c186f8e48,0.3060380362,0.2412907683,0.3412847926,0.0531653444,0.0582210584
4hxDvVq5t8ebPYPdBl1F9f,5a3fb483d836490c186f84f3,0.2851591785,0.1599493848,0.3217634003,0.0410451703,0.192082866
4kHtgiRnpmFIV5Tm4BIs8l,5a41ad0c8cc3d0d2d426663f,0.3071190362,0.173131064,0.2845586778,0.0399219572,0.1952692649
50q5QrJfzlaydAqQya6zWB,5a3feb0bd836490c18721518,0.2401584995,0.2336666619,0.2520946443,0.0412312443,0.2328489499
0MeLMJJcouYXCymQSHPn8g,5a4199928cc3d0d2d4245f51,0.2180084906,0.2952355957,0.20963552,0.0146874426,0.2624329511
3tMLo1k3iUo82coMLWXzxq,5a4192318cc3d0d2d423ff5a,0.2304526093,0.2883158238,0.3805142444,0.0690011862,0.0317161363
1IueXOQyABrMOprrzwQJWN,5a41abd68cc3d0d2d425e8ef,0.2986442665,0.1927988361,0.2722079197,0.0301579457,0.2061910319
1rKrEdI6GKirxWHxIUPYms,5a3fb13dd836490c186f5d00,0.3024193354,0.1742524758,0.3706889121,0.0608527443,0.0917865324
4Y2OXwc53GsYa1MT3R17bR,5a4193c28cc3d0d2d42412ca,0.234617084,0.1328900333,0.4067268287,0.0706855339,0.1550805202
1dUltK2m4kMuls9CbgwPra,5a419f4c8cc3d0d2d424a413,0.2821758411,0.1794914896,0.2931390914,0.046318745,0.1988748329
5WoWlP0ihSFIxnppxjwSgE,5a41990a8cc3d0d2d424588d,0.2591411766,0.160615151,0.3538045726,0.0442199607,0.1822191391
1XqT7nMi7H4WDGdzurdh0r,5a4197e08cc3d0d2d424497c,0.2848557405,0.1995915547,0.2589604319,0.0444737163,0.2121185565
5EPMINvnhwbdrpsDdQsPz9,5a3fb1e8d836490c186f64ff,0.2596233555,0.158127306,0.3497728449,0.0516466391,0.1808298544
