artist;spotify_id;galiboo_id;track_id;title
Philip Glass;69lxxQvsfAIoQbB20bEPFC;69lxxQvsfAIoQbB20bEPFC;"5a3fac16d836490c186f1ad7
";Dreaming of Fiji
Philip Glass;69lxxQvsfAIoQbB20bEPFC;69lxxQvsfAIoQbB20bEPFC;"5a3fac16d836490c186f1ae1
";Etude No. 5
Philip Glass;69lxxQvsfAIoQbB20bEPFC;69lxxQvsfAIoQbB20bEPFC;"5a3fac19d836490c186f1b4e
";Etude No. 9
Philip Glass;69lxxQvsfAIoQbB20bEPFC;69lxxQvsfAIoQbB20bEPFC;"5a3fac1bd836490c186f1b5d
";The Poet Acts
Philip Glass;69lxxQvsfAIoQbB20bEPFC;69lxxQvsfAIoQbB20bEPFC;"5a3fac20d836490c186f1b7e
";Morning Passages
Philip Glass;69lxxQvsfAIoQbB20bEPFC;69lxxQvsfAIoQbB20bEPFC;"5a3fac28d836490c186f1bb4
";Metamorphosis: Metamorphosis One
Hans Zimmer;0YC192cP3KPCRWx8zr8MfZ;0YC192cP3KPCRWx8zr8MfZ;"5a3fac57d836490c186f1d7c
";Time
Hans Zimmer;0YC192cP3KPCRWx8zr8MfZ;0YC192cP3KPCRWx8zr8MfZ;"5a3fac5dd836490c186f1dae
";Dream Is Collapsing
Hans Zimmer;0YC192cP3KPCRWx8zr8MfZ;0YC192cP3KPCRWx8zr8MfZ;"5a3fac5fd836490c186f1e0f
";Red Warrior
Hans Zimmer;0YC192cP3KPCRWx8zr8MfZ;0YC192cP3KPCRWx8zr8MfZ;"5a3fac62d836490c186f1e21
";A Small Measure of Peace
Hans Zimmer;0YC192cP3KPCRWx8zr8MfZ;0YC192cP3KPCRWx8zr8MfZ;"5a3fac64d836490c186f1e32
";A Hard Teacher
Hans Zimmer;0YC192cP3KPCRWx8zr8MfZ;0YC192cP3KPCRWx8zr8MfZ;"5a3fac67d836490c186f1e47
";Idyll's End
Hans Zimmer;0YC192cP3KPCRWx8zr8MfZ;0YC192cP3KPCRWx8zr8MfZ;"5a3fac6cd836490c186f1e6c
";"Burning Secret: Suite - From ""A World Apart"""
Hans Zimmer;0YC192cP3KPCRWx8zr8MfZ;0YC192cP3KPCRWx8zr8MfZ;"5a3fac83d836490c186f1fab
";Extraction Point
Hans Zimmer;0YC192cP3KPCRWx8zr8MfZ;0YC192cP3KPCRWx8zr8MfZ;"5a3fac96d836490c186f2024
";Opening Titles
Hans Zimmer;0YC192cP3KPCRWx8zr8MfZ;0YC192cP3KPCRWx8zr8MfZ;"5a3fac9bd836490c186f2047
";Elizabeth
Hans Zimmer;0YC192cP3KPCRWx8zr8MfZ;0YC192cP3KPCRWx8zr8MfZ;"5a3faca0d836490c186f206a
";Supermarine
Nick Cave & Warren Ellis;5cQYq4eJmOwUGCAjhajFg7;5cQYq4eJmOwUGCAjhajFg7;"5a3faca1d836490c186f2077
";Space Station
Nick Cave & Warren Ellis;5cQYq4eJmOwUGCAjhajFg7;5cQYq4eJmOwUGCAjhajFg7;"5a3faca3d836490c186f2084
";Snow Wolf
Nick Cave & Warren Ellis;5cQYq4eJmOwUGCAjhajFg7;5cQYq4eJmOwUGCAjhajFg7;"5a3faca4d836490c186f20a4
";The Civilian Executive
Mica Levi;29LOCR81IrdEJjCAeCEOU3;29LOCR81IrdEJjCAeCEOU3;"5a3faca6d836490c186f20cb
";Love
Toto;0PFtn5NtBbbUNbU9EAmIWF;0PFtn5NtBbbUNbU9EAmIWF;"5a3faca9d836490c186f20e0
";Africa
Toto;0PFtn5NtBbbUNbU9EAmIWF;0PFtn5NtBbbUNbU9EAmIWF;"5a3facc2d836490c186f21cd
";Hold the Line
Ramin Djawadi;1hCkSJcXREhrodeIHQdav8;1hCkSJcXREhrodeIHQdav8;"5a3face4d836490c186f22ab
";Dr. Ford
Ramin Djawadi;1hCkSJcXREhrodeIHQdav8;1hCkSJcXREhrodeIHQdav8;"5a3face5d836490c186f22b8
";Paint it Black
Ramin Djawadi;1hCkSJcXREhrodeIHQdav8;1hCkSJcXREhrodeIHQdav8;"5a3face6d836490c186f22c4
";Light of the Seven
Ramin Djawadi;1hCkSJcXREhrodeIHQdav8;1hCkSJcXREhrodeIHQdav8;"5a3face8d836490c186f22d6
";A Lannister Always Pays His Debts
Ramin Djawadi;1hCkSJcXREhrodeIHQdav8;1hCkSJcXREhrodeIHQdav8;"5a3facead836490c186f22e2
";Warcraft
Ramin Djawadi;1hCkSJcXREhrodeIHQdav8;1hCkSJcXREhrodeIHQdav8;"5a3facefd836490c186f2310
";The Children
Ramin Djawadi;1hCkSJcXREhrodeIHQdav8;1hCkSJcXREhrodeIHQdav8;"5a3fad23d836490c186f24be
";Enemy Down
Ramin Djawadi;1hCkSJcXREhrodeIHQdav8;1hCkSJcXREhrodeIHQdav8;"5a3fad28d836490c186f24e7
";I Need You by My Side (Bonus Track)
Ramin Djawadi;1hCkSJcXREhrodeIHQdav8;1hCkSJcXREhrodeIHQdav8;"5a3fad28d836490c186f24ec
";My Watch Has Ended
Ramin Djawadi;1hCkSJcXREhrodeIHQdav8;1hCkSJcXREhrodeIHQdav8;"5a3fad29d836490c186f24fa
";Dracarys
