new_date,lat,long,speed,datetime,co,no2,o3,pm10,pm25,so2
2018-07-01T05:00:00,40.7719,-73.99401,0.0,2018-07-01T05:00:00,379.68,61.11,24.14,79.55,19.58,0.08
2018-07-01T05:00:00,40.7604,-74.00328,39.14,2018-07-01T05:00:00,403.08,66.22,24.74,67.38,21.38,0.08
2018-07-01T05:00:00,40.70158,-73.99033,33.55,2018-07-01T05:00:00,412.11,66.61,26.7,79.33,20.09,0.07
2018-07-01T05:00:00,40.730165,-73.87643,0.0,2018-07-01T05:00:00,367.8,44.23,29.7,64.86,24.42,0.07
2018-07-02T06:00:00,40.66579,-73.75706,31.68,2018-07-02T06:00:00,414.54,39.52,14.46,63.54,29.13,0.83
2018-07-02T06:00:00,40.70895,-73.996941,32.93,2018-07-02T06:00:00,455.08,44.86,21.06,50.8,26.16,1.27
2018-07-02T06:00:00,40.76212,-74.91,18.64,2018-07-02T06:00:00,333.47,8.91,24.92,17.26,16.2,0.02
2018-07-02T06:00:00,40.74137,-74.00893,15.53,2018-07-02T06:00:00,455.69,44.17,21.29,50.39,26.33,1.44
2018-07-02T06:00:00,40.73895,-74.01012,22.99,2018-07-02T06:00:00,457.26,55.82,21.32,55.99,27.23,1.43
2018-07-03T08:00:00,40.66579,-73.75706,41.01,2018-07-03T08:00:00,333.81,30.33,23.1,47.28,22.01,0.76
2018-07-03T08:00:00,40.70895,-73.996941,11.18,2018-07-03T08:00:00,311.05,24.66,19.42,50.68,24.24,1.23
2018-07-03T08:00:00,40.76212,-74.91,9.94,2018-07-03T08:00:00,367.42,10.65,21.34,25.64,16.0,0.02
2018-07-03T08:00:00,40.74137,-74.00893,10.56,2018-07-03T08:00:00,303.37,41.5,19.36,69.77,26.62,1.42
2018-07-03T08:00:00,40.73895,-74.01012,22.36,2018-07-03T08:00:00,303.49,37.53,19.33,67.46,24.76,1.42
2018-07-03T14:00:00,40.66579,-73.75706,21.12,2018-07-03T14:00:00,399.41,33.32,27.71,50.1,20.92,0.75
2018-07-03T14:00:00,40.76212,-74.91,15.53,2018-07-03T14:00:00,309.8,2.24,31.53,18.24,12.22,0.03
2018-07-03T14:00:00,40.74137,-74.00893,3.1,2018-07-03T14:00:00,410.26,30.68,23.47,67.08,25.65,1.39
2018-07-03T14:00:00,40.73895,-74.01012,16.15,2018-07-03T14:00:00,410.83,30.28,23.47,53.28,22.18,1.39
2018-07-04T15:00:00,40.66579,-73.75706,51.57,2018-07-04T15:00:00,395.16,40.13,33.08,58.93,26.87,0.45
2018-07-04T15:00:00,40.70895,-73.996941,0.0,2018-07-04T15:00:00,392.05,35.63,30.0,56.33,23.73,0.7
2018-07-04T15:00:00,40.76212,-74.91,13.67,2018-07-04T15:00:00,440.96,3.14,29.09,19.29,9.71,0.03
2018-07-04T15:00:00,40.74137,-74.00893,14.91,2018-07-04T15:00:00,365.31,30.92,29.28,59.78,23.04,0.8
2018-07-04T15:00:00,40.67374,-73.80154,31.68,2018-07-04T15:00:00,394.74,23.42,32.68,57.93,24.69,0.47
2018-07-04T19:00:00,40.66579,-73.75706,52.19,2018-07-04T19:00:00,412.05,35.74,59.36,70.06,22.83,0.41
2018-07-04T19:00:00,40.76212,-74.91,18.64,2018-07-04T19:00:00,354.64,0.65,53.84,18.23,11.35,0.02
2018-07-04T19:00:00,40.74137,-74.00893,18.01,2018-07-04T19:00:00,392.46,24.7,71.29,46.31,24.84,0.74
2018-07-06T01:00:00,40.66579,-73.75706,57.16,2018-07-06T01:00:00,236.45,38.45,22.76,44.67,16.26,0.42
2018-07-06T01:00:00,40.76212,-74.91,14.91,2018-07-06T01:00:00,185.06,2.99,36.06,13.9,6.38,0.01
2018-07-06T01:00:00,40.74137,-74.00893,20.5,2018-07-06T01:00:00,276.68,25.05,24.54,43.72,12.67,0.74
2018-07-06T01:00:00,40.73895,-74.01012,29.2,2018-07-06T01:00:00,279.57,19.82,24.73,28.4,12.49,0.74
2018-07-06T01:00:00,40.67374,-73.80154,37.9,2018-07-06T01:00:00,238.0,39.37,22.6,47.13,13.78,0.44
2018-07-06T02:00:00,40.66579,-73.75706,58.4,2018-07-06T02:00:00,230.77,30.42,22.13,28.54,13.94,0.42
2018-07-06T02:00:00,40.76212,-74.91,14.91,2018-07-06T02:00:00,169.16,2.8,35.05,11.68,7.01,0.01
2018-07-06T02:00:00,40.74137,-74.00893,19.88,2018-07-06T02:00:00,274.86,25.33,23.57,30.88,13.28,0.73
2018-07-06T02:00:00,40.73895,-74.01012,28.58,2018-07-06T02:00:00,277.41,18.42,23.7,28.52,10.89,0.73
