datetime,lat,long,co,no2,o3,pm10,pm25,so2
2018-07-01T00:00:00,40.846951,-73.933641,226,37.27,51.14,87.29,23.13,0.06
2018-07-01T01:00:00,40.846951,-73.933641,224.41,47.85,48.05,82.02,21.0,0.09
2018-07-01T02:00:00,40.846951,-73.933641,227.97,46.6,47.17,83.93,22.47,0.08
2018-07-01T03:00:00,40.846951,-73.933641,233.23,45.49,37.19,76.84,24.91,0.08
2018-07-01T04:00:00,40.846951,-73.933641,307.36,53.68,28.7,81.5,23.66,0.07
2018-07-01T05:00:00,40.846951,-73.933641,298.43,57.26,21.33,81.48,28.35,0.07
2018-07-01T06:00:00,40.846951,-73.933641,293.79,55.55,20.69,68.22,29.39,0.06
2018-07-01T07:00:00,40.846951,-73.933641,296.01,43.72,19.21,61.27,28.71,0.07
2018-07-01T08:00:00,40.846951,-73.933641,367.76,34.96,20.22,53.18,27.96,0.07
2018-07-01T09:00:00,40.846951,-73.933641,360.24,43.65,23.96,63.17,25.09,0.06
2018-07-01T10:00:00,40.846951,-73.933641,287.6,43.0,24.09,61.92,25.47,0.23
2018-07-01T11:00:00,40.846951,-73.933641,295.83,34.69,30.42,55.17,23.62,0.08
2018-07-01T12:00:00,40.846951,-73.933641,289.75,32.81,31.04,57.27,26.47,0.08
2018-07-01T13:00:00,40.846951,-73.933641,200.54,37.48,37.36,52.89,23.81,0.08
2018-07-01T14:00:00,40.846951,-73.933641,297.75,37.86,45.72,55.06,24.43,0.07
2018-07-01T15:00:00,40.846951,-73.933641,285.49,46.13,48.25,54.86,27.94,0.08
2018-07-01T16:00:00,40.846951,-73.933641,277.23,37.77,59.69,60.91,35.84,0.06
2018-07-01T17:00:00,40.846951,-73.933641,268.17,36.2,60.07,73.13,26.7,0.1
2018-07-01T18:00:00,40.846951,-73.933641,268.85,40.21,64.4,68.18,26.41,0.09
2018-07-01T19:00:00,40.846951,-73.933641,279.54,40.6,70.54,76.4,26.81,0.07
2018-07-01T20:00:00,40.846951,-73.933641,279.87,42.73,70.77,79.41,31.92,0.07
2018-07-01T21:00:00,40.846951,-73.933641,322.23,35.15,66.37,81.19,24.35,1.14
2018-07-01T22:00:00,40.846951,-73.933641,328.76,41.02,77.84,68.03,23.78,1.15
2018-07-01T23:00:00,40.846951,-73.933641,273.85,45.17,84.34,94.44,31.83,1.24
2018-07-02T00:00:00,40.846951,-73.933641,217.83,48.98,72.02,80.7,28.22,1.22
2018-07-02T00:00:00,40.846951,-73.933641,217.83,48.98,72.02,80.7,28.22,1.22
2018-07-02T01:00:00,40.846951,-73.933641,186.98,48.62,53.51,88.04,27.89,1.51
2018-07-02T02:00:00,40.846951,-73.933641,246.77,49.25,53.0,78.02,36.38,1.45
2018-07-02T03:00:00,40.846951,-73.933641,261.39,51.08,43.27,65.73,28.29,1.35
2018-07-02T04:00:00,40.846951,-73.933641,273.92,52.27,34.29,77.49,26.28,1.29
2018-07-02T05:00:00,40.846951,-73.933641,404.87,45.26,41.35,81.15,36.3,1.64
2018-07-02T06:00:00,40.846951,-73.933641,336.74,55.94,20.64,67.04,34.27,1.27
2018-07-02T07:00:00,40.846951,-73.933641,344.22,41.07,17.18,63.29,31.5,1.27
2018-07-02T08:00:00,40.846951,-73.933641,258.83,55.16,30.18,87.6,29.33,1.3
2018-07-02T09:00:00,40.846951,-73.933641,263.93,24.45,29.68,67.6,27.38,1.3
2018-07-02T10:00:00,40.846951,-73.933641,308.8,41.72,29.01,84.07,23.01,1.11
2018-07-02T11:00:00,40.846951,-73.933641,274.13,48.92,26.21,90.77,22.63,1.06
2018-07-02T12:00:00,40.846951,-73.933641,271.4,53.55,25.79,92.73,25.69,1.1
2018-07-02T13:00:00,40.846951,-73.933641,306.19,60.32,18.21,82.93,32.08,1.31
2018-07-02T14:00:00,40.846951,-73.933641,500.38,65.55,22.67,79.39,38.4,1.78
2018-07-02T15:00:00,40.846951,-73.933641,643.05,61.91,41.8,81.72,40.19,1.8
2018-07-02T16:00:00,40.846951,-73.933641,523.82,58.14,55.59,71.3,40.51,1.86
2018-07-02T17:00:00,40.846951,-73.933641,406.43,47.43,74.76,68.97,28.05,1.43
2018-07-02T18:00:00,40.846951,-73.933641,397.63,54.59,83.97,73.61,31.02,1.1
2018-07-02T19:00:00,40.846951,-73.933641,222.42,44.25,91.16,69.68,31.01,1.13
