datetime,lat,long,co,no2,o3,pm10,pm25,so2
2018-07-05T00:00:00,40.846951,-73.933641,221.78,43.17,26.23,49.1,21.86,0.64
2018-07-05T01:00:00,40.846951,-73.933641,231.1,42.16,20.84,74.56,16.93,0.59
2018-07-05T02:00:00,40.846951,-73.933641,189.46,40.75,13.85,62.12,20.28,0.59
2018-07-05T03:00:00,40.846951,-73.933641,190.04,44.25,15.81,72.49,18.16,0.58
2018-07-05T04:00:00,40.846951,-73.933641,195.64,45.07,14.73,69.82,24.77,0.59
2018-07-05T05:00:00,40.846951,-73.933641,204.45,44.78,12.69,70.71,31.53,0.6
2018-07-05T06:00:00,40.846951,-73.933641,280.16,37.58,11.99,60.16,37.71,0.58
2018-07-05T07:00:00,40.846951,-73.933641,214.28,26.23,12.67,55.2,30.33,0.6
2018-07-05T08:00:00,40.846951,-73.933641,203.36,27.64,10.89,55.38,20.88,0.6
2018-07-05T09:00:00,40.846951,-73.933641,181.93,36.9,12.73,55.12,19.86,0.62
2018-07-05T10:00:00,40.846951,-73.933641,187.32,37.51,12.45,58.17,15.8,0.54
2018-07-05T12:00:00,40.846951,-73.933641,217.33,41.42,17.24,55.98,17.82,0.58
2018-07-05T13:00:00,40.846951,-73.933641,106.58,46.87,13.89,50.85,22.87,0.67
2018-07-05T14:00:00,40.846951,-73.933641,206.19,36.91,22.85,45.8,21.78,0.61
2018-07-05T15:00:00,40.846951,-73.933641,156.23,42.2,21.59,39.4,20.55,0.64
2018-07-05T16:00:00,40.846951,-73.933641,194.28,35.4,29.39,39.57,22.03,0.57
2018-07-05T18:00:00,40.846951,-73.933641,127.03,39.64,37.59,47.01,20.97,0.59
2018-07-05T19:00:00,40.846951,-73.933641,125.12,38.05,46.25,49.02,15.24,0.57
2018-07-05T20:00:00,40.846951,-73.933641,186.26,35.03,52.47,45.62,16.63,0.52
2018-07-05T21:00:00,40.846951,-73.933641,131.36,40.97,45.69,48.01,17.96,0.65
2018-07-05T22:00:00,40.846951,-73.933641,138.36,43.59,34.04,60.56,19.42,0.67
2018-07-05T23:00:00,40.846951,-73.933641,206.47,37.26,36.41,43.5,24.19,0.58
2018-07-06T00:00:00,40.846951,-73.933641,142.56,39.82,28.63,61.8,18.51,0.62
2018-07-06T00:00:00,40.846951,-73.933641,142.56,39.82,28.63,61.8,18.51,0.62
2018-07-06T01:00:00,40.846951,-73.933641,151.13,38.51,21.96,55.4,15.78,0.58
2018-07-06T02:00:00,40.846951,-73.933641,155.34,38.89,21.54,47.02,17.54,0.57
