new_date,lat,long,speed
2018-07-01T05:00:00,40.7719,-73.99401,0.0
2018-07-01T05:00:00,40.7604,-74.00328,39.14
2018-07-01T05:00:00,40.70158,-73.99033,33.55
2018-07-01T05:00:00,40.730165,-73.87643,0.0
2018-07-01T05:00:00,40.78647,-73.78812,52.19
2018-07-02T06:00:00,40.66738,-73.77021,51.57
2018-07-02T06:00:00,40.66579,-73.75706,31.68
2018-07-02T06:00:00,40.68314,-73.72692,54.05
2018-07-02T06:00:00,40.70895,-73.996941,32.93
2018-07-02T06:00:00,40.76212,-74.91,18.64
2018-07-02T06:00:00,40.74137,-74.00893,15.53
2018-07-02T06:00:00,40.73895,-74.01012,22.99
2018-07-03T08:00:00,40.66738,-73.77021,50.95
2018-07-03T08:00:00,40.66579,-73.75706,41.01
2018-07-03T08:00:00,40.68314,-73.72692,53.43
2018-07-03T08:00:00,40.70895,-73.996941,11.18
2018-07-03T08:00:00,40.76212,-74.91,9.94
2018-07-03T08:00:00,40.74137,-74.00893,10.56
2018-07-03T08:00:00,40.73895,-74.01012,22.36
2018-07-03T14:00:00,40.66738,-73.77021,35.41
2018-07-03T14:00:00,40.66579,-73.75706,21.12
2018-07-03T14:00:00,40.68314,-73.72692,53.43
2018-07-03T14:00:00,40.76212,-74.91,15.53
2018-07-03T14:00:00,40.74137,-74.00893,3.1
2018-07-03T14:00:00,40.73895,-74.01012,16.15
2018-07-04T15:00:00,40.66738,-73.77021,48.46
2018-07-04T15:00:00,40.66579,-73.75706,51.57
2018-07-04T15:00:00,40.68314,-73.72692,54.68
2018-07-04T15:00:00,40.8492,-73.945241,45.36
2018-07-04T15:00:00,40.70895,-73.996941,0.0
2018-07-04T15:00:00,40.76212,-74.91,13.67
2018-07-04T15:00:00,40.74137,-74.00893,14.91
2018-07-04T15:00:00,40.67374,-73.80154,31.68
2018-07-04T19:00:00,40.66738,-73.77021,17.39
2018-07-04T19:00:00,40.66579,-73.75706,52.19
2018-07-04T19:00:00,40.68314,-73.72692,18.64
2018-07-04T19:00:00,40.76212,-74.91,18.64
2018-07-04T19:00:00,40.74137,-74.00893,18.01
2018-07-06T01:00:00,40.66738,-73.77021,50.95
2018-07-06T01:00:00,40.66579,-73.75706,57.16
2018-07-06T01:00:00,40.68314,-73.72692,56.54
2018-07-06T01:00:00,40.8492,-73.945241,49.7
2018-07-06T01:00:00,40.76212,-74.91,14.91
2018-07-06T01:00:00,40.74137,-74.00893,20.5
2018-07-06T01:00:00,40.73895,-74.01012,29.2
2018-07-06T01:00:00,40.79751,-73.827091,52.81
2018-07-06T01:00:00,40.67374,-73.80154,37.9
2018-07-06T02:00:00,40.66738,-73.77021,54.05
2018-07-06T02:00:00,40.66579,-73.75706,58.4
2018-07-06T02:00:00,40.68314,-73.72692,57.78
2018-07-06T02:00:00,40.8492,-73.945241,53.43
2018-07-06T02:00:00,40.76212,-74.91,14.91
2018-07-06T02:00:00,40.74137,-74.00893,19.88
2018-07-06T02:00:00,40.73895,-74.01012,28.58
2018-07-06T02:00:00,40.79751,-73.827091,53.43
2018-07-06T02:00:00,40.67374,-73.80154,46.6
2018-07-06T15:00:00,40.66738,-73.77021,39.14
2018-07-06T15:00:00,40.66579,-73.75706,19.88
2018-07-06T15:00:00,40.68314,-73.72692,49.7
2018-07-06T15:00:00,40.8492,-73.945241,47.22
2018-07-06T15:00:00,40.76212,-74.91,13.04
2018-07-06T15:00:00,40.74137,-74.00893,18.64
2018-07-06T15:00:00,40.73895,-74.01012,24.23
2018-07-06T15:00:00,40.67374,-73.80154,13.04
2018-07-07T02:00:00,40.66738,-73.77021,54.68
2018-07-07T02:00:00,40.66579,-73.75706,57.78
2018-07-07T02:00:00,40.68314,-73.72692,57.78
2018-07-07T02:00:00,40.76212,-74.91,12.42
2018-07-07T02:00:00,40.74137,-74.00893,19.88
2018-07-07T02:00:00,40.73895,-74.01012,26.09
2018-07-07T02:00:00,40.67374,-73.80154,45.36
2018-07-07T04:00:00,40.66738,-73.77021,57.16
2018-07-07T04:00:00,40.66579,-73.75706,59.03
2018-07-07T04:00:00,40.68314,-73.72692,60.27
2018-07-07T04:00:00,40.76212,-74.91,9.94
2018-07-07T04:00:00,40.74137,-74.00893,21.12
2018-07-07T04:00:00,40.73895,-74.01012,29.82
2018-07-07T04:00:00,40.67374,-73.80154,41.63
2018-07-07T06:00:00,40.66738,-73.77021,56.54
2018-07-07T06:00:00,40.66579,-73.75706,57.78
