datetime,lat,long,co,no2,o3,pm10,pm25,so2
2018-07-01T00:00:00,40.850247,-73.895282,227.31,18.4,48.26,57.36,25.13,0.06
2018-07-01T01:00:00,40.850247,-73.895282,227.39,26.97,48.06,58.14,20.85,0.08
2018-07-01T02:00:00,40.850247,-73.895282,230.47,21.35,47.6,58.13,24.8,0.08
2018-07-01T03:00:00,40.850247,-73.895282,241.13,24.71,35.66,58.97,20.42,0.08
2018-07-01T04:00:00,40.850247,-73.895282,314.23,27.55,24.81,59.69,20.6,0.07
2018-07-01T05:00:00,40.850247,-73.895282,303.83,28.15,19.16,51.03,26.9,0.07
2018-07-01T06:00:00,40.850247,-73.895282,296.79,29.73,23.7,50.99,26.78,0.06
2018-07-01T07:00:00,40.850247,-73.895282,300.95,28.52,17.84,48.5,23.16,0.07
2018-07-01T08:00:00,40.850247,-73.895282,368.06,31.39,23.76,51.25,25.4,0.07
2018-07-01T09:00:00,40.850247,-73.895282,359.57,28.75,29.13,53.33,28.42,0.07
2018-07-01T10:00:00,40.850247,-73.895282,289.99,27.9,26.9,52.84,24.68,0.23
2018-07-01T11:00:00,40.850247,-73.895282,297.98,28.57,31.45,52.68,25.16,0.08
2018-07-01T12:00:00,40.850247,-73.895282,292.7,19.57,33.85,50.78,26.95,0.08
2018-07-01T13:00:00,40.850247,-73.895282,201.57,18.57,38.86,46.09,26.89,0.07
2018-07-01T14:00:00,40.850247,-73.895282,297.16,19.93,43.75,49.59,25.02,0.07
2018-07-01T15:00:00,40.850247,-73.895282,289.1,23.77,47.19,46.22,29.01,0.08
2018-07-01T16:00:00,40.850247,-73.895282,277.56,15.56,55.84,41.67,29.17,0.07
2018-07-01T17:00:00,40.850247,-73.895282,267.67,17.83,58.18,45.7,27.48,0.1
2018-07-01T18:00:00,40.850247,-73.895282,269.23,14.93,63.62,45.61,25.84,0.09
2018-07-01T19:00:00,40.850247,-73.895282,283.01,16.16,63.46,46.5,28.9,0.06
2018-07-01T20:00:00,40.850247,-73.895282,283.88,16.67,60.47,49.24,31.02,0.07
2018-07-01T21:00:00,40.850247,-73.895282,326.76,12.21,60.15,52.86,26.2,1.09
2018-07-01T22:00:00,40.850247,-73.895282,335.22,14.27,68.06,56.62,25.43,1.1
2018-07-01T23:00:00,40.850247,-73.895282,282.21,22.54,81.84,60.58,30.22,1.19
2018-07-02T00:00:00,40.850247,-73.895282,225.73,29.32,78.77,69.41,31.59,1.17
2018-07-02T00:00:00,40.850247,-73.895282,225.73,29.32,78.77,69.41,31.59,1.17
2018-07-02T01:00:00,40.850247,-73.895282,195.82,22.93,47.31,59.81,29.82,1.45
2018-07-02T02:00:00,40.850247,-73.895282,253.41,28.98,52.57,58.95,33.87,1.38
2018-07-02T03:00:00,40.850247,-73.895282,265.73,30.25,40.86,57.74,24.04,1.29
2018-07-02T04:00:00,40.850247,-73.895282,281.94,29.43,36.97,55.12,27.42,1.23
2018-07-02T05:00:00,40.850247,-73.895282,412.14,27.91,40.3,54.71,37.89,1.57
2018-07-02T06:00:00,40.850247,-73.895282,341.7,29.67,20.61,48.58,30.35,1.21
2018-07-02T07:00:00,40.850247,-73.895282,344.78,35.83,13.77,57.09,31.54,1.21
2018-07-02T08:00:00,40.850247,-73.895282,264.04,27.94,32.45,59.57,31.99,1.24
2018-07-02T09:00:00,40.850247,-73.895282,265.35,21.64,36.03,61.3,15.96,1.25
2018-07-02T10:00:00,40.850247,-73.895282,308.14,26.8,33.58,75.37,26.56,1.06
2018-07-02T11:00:00,40.850247,-73.895282,277.35,29.51,30.08,77.23,25.24,1.01
2018-07-02T12:00:00,40.850247,-73.895282,274.41,32.62,27.13,72.31,24.56,1.05
2018-07-02T13:00:00,40.850247,-73.895282,312.52,34.77,18.75,61.62,29.26,1.25
2018-07-02T14:00:00,40.850247,-73.895282,500.87,42.54,26.18,58.34,35.44,1.7
2018-07-02T15:00:00,40.850247,-73.895282,636.03,42.84,53.68,53.3,37.67,1.72
2018-07-02T16:00:00,40.850247,-73.895282,523.11,34.73,63.72,53.15,38.99,1.77
2018-07-02T17:00:00,40.850247,-73.895282,410.36,31.41,74.6,49.44,28.52,1.37
2018-07-02T18:00:00,40.850247,-73.895282,398.85,34.47,90.6,46.87,32.08,1.06
2018-07-02T19:00:00,40.850247,-73.895282,230.09,26.72,80.95,45.52,26.59,1.09
2018-07-02T20:00:00,40.850247,-73.895282,231.23,25.7,77.97,47.97,26.29,1.11
2018-07-02T21:00:00,40.850247,-73.895282,241.28,26.43,80.75,43.69,27.17,1.12
2018-07-02T22:00:00,40.850247,-73.895282,324.02,23.84,81.55,48.28,32.5,1.03
2018-07-02T23:00:00,40.850247,-73.895282,249.54,27.09,63.85,48.34,30.94,1.14
2018-07-03T00:00:00,40.850247,-73.895282,211.75,23.44,54.24,49.92,26.28,1.15
2018-07-03T00:00:00,40.850247,-73.895282,211.75,23.44,54.24,49.92,26.28,1.15
2018-07-03T01:00:00,40.850247,-73.895282,174.33,27.14,51.71,53.7,36.21,1.09
2018-07-03T02:00:00,40.850247,-73.895282,233.29,26.33,37.89,54.38,24.41,1.06
2018-07-03T03:00:00,40.850247,-73.895282,244.63,30.89,29.51,53.03,27.73,1.08
2018-07-03T04:00:00,40.850247,-73.895282,245.8,29.85,31.04,51.81,30.08,1.07
2018-07-03T05:00:00,40.850247,-73.895282,303.03,31.7,33.17,51.68,33.09,1.07
2018-07-03T06:00:00,40.850247,-73.895282,318.06,33.74,24.68,52.87,30.94,1.08
2018-07-03T07:00:00,40.850247,-73.895282,321.47,28.36,15.92,48.03,30.89,1.08
2018-07-03T08:00:00,40.850247,-73.895282,334.46,29.51,19.09,49.25,27.63,1.05
2018-07-03T09:00:00,40.850247,-73.895282,319.04,28.32,14.72,49.04,21.87,1.09
2018-07-03T10:00:00,40.850247,-73.895282,269.17,31.21,17.53,54.55,27.45,0.97
2018-07-03T11:00:00,40.850247,-73.895282,274.53,20.7,18.85,51.05,29.93,1.05
2018-07-03T12:00:00,40.850247,-73.895282,259.65,31.58,14.33,54.46,31.76,0.77
2018-07-03T13:00:00,40.850247,-73.895282,307.07,33.29,15.33,50.39,32.92,1.04
2018-07-03T14:00:00,40.850247,-73.895282,373.66,28.34,24.1,56.1,34.42,1.03
2018-07-03T15:00:00,40.850247,-73.895282,362.36,26.68,30.1,56.72,31.78,1.05
2018-07-03T16:00:00,40.850247,-73.895282,352.5,35.67,32.95,51.54,30.2,1.09
2018-07-03T17:00:00,40.850247,-73.895282,296.13,29.33,44.26,48.8,31.01,1.09
2018-07-03T18:00:00,40.850247,-73.895282,285.06,30.27,65.3,47.48,28.23,1.1
2018-07-03T19:00:00,40.850247,-73.895282,295.67,25.33,79.24,51.24,29.57,1.14
2018-07-03T20:00:00,40.850247,-73.895282,303.41,25.39,69.86,49.65,29.93,0.81
2018-07-03T21:00:00,40.850247,-73.895282,383.02,27.05,54.88,44.92,30.71,0.97
2018-07-03T22:00:00,40.850247,-73.895282,376.41,24.3,40.52,49.05,26.09,1.02
2018-07-03T23:00:00,40.850247,-73.895282,251.65,33.59,41.12,51.25,22.77,0.81
2018-07-04T00:00:00,40.850247,-73.895282,224.76,28.94,40.75,64.77,15.29,0.66
2018-07-04T00:00:00,40.850247,-73.895282,224.76,28.94,40.75,64.77,15.29,0.66
2018-07-04T01:00:00,40.850247,-73.895282,258.32,34.21,22.19,70.38,18.49,0.56
2018-07-04T02:00:00,40.850247,-73.895282,311.13,37.7,24.47,70.92,17.46,0.57
2018-07-04T03:00:00,40.850247,-73.895282,307.47,32.82,22.13,68.66,23.33,0.57
2018-07-04T04:00:00,40.850247,-73.895282,311.59,32.74,19.99,72.33,18.27,0.57
2018-07-04T05:00:00,40.850247,-73.895282,314.85,30.39,17.22,63.11,23.24,0.57
2018-07-04T06:00:00,40.850247,-73.895282,342.69,25.06,17.74,60.23,21.36,0.55
2018-07-04T07:00:00,40.850247,-73.895282,260.19,21.44,28.49,64.11,20.31,0.58
2018-07-04T08:00:00,40.850247,-73.895282,271.86,23.92,27.01,67.9,20.61,0.58
2018-07-04T09:00:00,40.850247,-73.895282,304.31,26.43,28.14,58.77,19.24,0.59
2018-07-04T10:00:00,40.850247,-73.895282,335.39,32.45,23.69,54.5,19.8,0.54
2018-07-04T11:00:00,40.850247,-73.895282,357.98,20.96,17.31,50.48,21.23,0.59
2018-07-04T12:00:00,40.850247,-73.895282,308.01,28.67,17.43,53.53,25.46,0.62
2018-07-04T13:00:00,40.850247,-73.895282,306.53,26.94,15.11,63.38,25.73,0.62
2018-07-04T14:00:00,40.850247,-73.895282,360.26,19.41,26.98,55.99,26.53,0.55
2018-07-04T15:00:00,40.850247,-73.895282,260.44,26.55,29.63,48.37,28.41,0.6
2018-07-04T16:00:00,40.850247,-73.895282,306.83,27.0,38.63,45.63,32.98,0.6
2018-07-04T17:00:00,40.850247,-73.895282,305.87,24.54,46.67,47.28,28.95,0.65
2018-07-04T18:00:00,40.850247,-73.895282,367.57,16.88,64.48,50.19,24.35,0.57
2018-07-04T19:00:00,40.850247,-73.895282,362.15,15.84,73.04,44.42,26.54,0.55
2018-07-04T20:00:00,40.850247,-73.895282,313.99,19.03,69.75,44.47,29.16,0.56
2018-07-04T21:00:00,40.850247,-73.895282,259.83,26.47,52.16,41.24,23.7,0.64
2018-07-04T22:00:00,40.850247,-73.895282,340.23,15.8,43.13,45.27,17.84,0.56
2018-07-04T23:00:00,40.850247,-73.895282,304.1,16.04,33.49,46.09,18.95,0.57
2018-07-05T00:00:00,40.850247,-73.895282,227.49,27.64,25.37,49.55,23.62,0.62
2018-07-05T00:00:00,40.850247,-73.895282,227.49,27.64,25.37,49.55,23.62,0.62
2018-07-05T01:00:00,40.850247,-73.895282,231.17,28.09,21.03,54.69,17.09,0.56
2018-07-05T02:00:00,40.850247,-73.895282,191.71,21.47,15.08,56.22,18.06,0.57
2018-07-05T03:00:00,40.850247,-73.895282,193.35,28.3,16.21,58.05,17.2,0.56
2018-07-05T04:00:00,40.850247,-73.895282,201.18,24.05,16.84,59.71,22.84,0.56
2018-07-05T05:00:00,40.850247,-73.895282,212.25,23.7,13.47,56.92,28.85,0.59
2018-07-05T06:00:00,40.850247,-73.895282,284.67,21.36,11.73,51.35,35.11,0.56
2018-07-05T07:00:00,40.850247,-73.895282,218.49,20.31,13.93,47.02,28.39,0.58
2018-07-05T08:00:00,40.850247,-73.895282,205.27,20.79,12.07,45.06,26.15,0.59
2018-07-05T09:00:00,40.850247,-73.895282,185.21,21.75,11.48,54.16,18.34,0.62
2018-07-05T10:00:00,40.850247,-73.895282,189.89,20.52,13.02,49.05,19.04,0.54
2018-07-05T12:00:00,40.850247,-73.895282,216.93,20.14,15.28,38.14,20.18,0.57
2018-07-05T13:00:00,40.850247,-73.895282,115.79,26.15,15.52,35.11,20.37,0.65
2018-07-05T14:00:00,40.850247,-73.895282,211.23,17.38,23.88,38.79,21.54,0.59
2018-07-05T15:00:00,40.850247,-73.895282,162.75,21.39,22.31,37.09,20.62,0.61
2018-07-05T16:00:00,40.850247,-73.895282,199.37,19.24,28.92,33.13,18.32,0.55
2018-07-05T18:00:00,40.850247,-73.895282,134.77,20.99,38.36,34.11,17.89,0.56
