datetime,lat,long,co,no2,o3,pm10,pm25,so2
2018-07-15T00:00:00,40.846951,-73.933641,219.86,39.44,54.06,74.07,23.65,0.63
2018-07-15T01:00:00,40.846951,-73.933641,155.87,42.25,48.94,74.93,21.8,0.59
2018-07-15T02:00:00,40.846951,-73.933641,171.4,41.02,46.7,76.57,24.96,0.95
2018-07-15T03:00:00,40.846951,-73.933641,174.37,42.51,42.8,74.89,24.74,1.06
2018-07-15T04:00:00,40.846951,-73.933641,181.12,46.02,39.74,84.84,27.38,1.09
2018-07-15T05:00:00,40.846951,-73.933641,194.34,35.67,40.07,73.21,21.05,1.08
2018-07-15T06:00:00,40.846951,-73.933641,248.93,42.42,42.43,79.39,26.31,1.08
2018-07-15T07:00:00,40.846951,-73.933641,198.0,36.73,40.87,74.42,17.44,0.36
2018-07-15T08:00:00,40.846951,-73.933641,139.28,40.6,35.03,71.6,16.72,0.14
2018-07-15T09:00:00,40.846951,-73.933641,203.76,23.29,35.63,71.17,15.3,0.39
2018-07-15T10:00:00,40.846951,-73.933641,212.28,42.97,35.94,70.54,16.96,0.41
2018-07-15T11:00:00,40.846951,-73.933641,216.16,37.46,34.62,69.67,15.51,0.15
2018-07-15T12:00:00,40.846951,-73.933641,227.51,35.85,31.21,55.01,16.54,0.06
2018-07-15T13:00:00,40.846951,-73.933641,201.09,35.71,31.46,56.61,17.11,0.07
2018-07-15T14:00:00,40.846951,-73.933641,227.69,39.07,28.51,52.22,20.13,0.47
2018-07-15T15:00:00,40.846951,-73.933641,217.47,39.38,23.44,54.91,21.93,0.58
2018-07-15T16:00:00,40.846951,-73.933641,244.91,40.68,30.57,66.7,20.12,0.58
2018-07-15T17:00:00,40.846951,-73.933641,243.8,39.62,37.46,65.61,24.68,0.58
2018-07-15T18:00:00,40.846951,-73.933641,301.15,38.54,35.01,70.04,23.18,0.57
2018-07-15T20:00:00,40.846951,-73.933641,263.85,31.12,50.7,78.2,22.46,0.58
2018-07-15T21:00:00,40.846951,-73.933641,212.88,40.44,54.87,83.38,19.66,0.64
2018-07-15T22:00:00,40.846951,-73.933641,292.72,37.83,54.02,84.38,19.3,0.6
2018-07-15T23:00:00,40.846951,-73.933641,239.26,47.13,51.25,93.22,26.81,0.68
2018-07-16T00:00:00,40.846951,-73.933641,237.36,48.7,49.66,71.75,22.43,0.67
2018-07-16T00:00:00,40.846951,-73.933641,237.36,48.7,49.66,71.75,22.43,0.67
2018-07-16T01:00:00,40.846951,-73.933641,203.36,49.41,47.02,71.15,21.91,0.61
2018-07-16T02:00:00,40.846951,-73.933641,208.87,50.27,38.46,81.12,19.6,0.6
2018-07-16T03:00:00,40.846951,-73.933641,200.47,44.99,32.05,75.13,20.32,0.58
2018-07-16T04:00:00,40.846951,-73.933641,210.26,50.63,28.02,97.96,23.43,0.58
2018-07-16T05:00:00,40.846951,-73.933641,199.34,37.41,25.49,77.91,24.75,0.6
2018-07-16T06:00:00,40.846951,-73.933641,277.33,37.64,30.88,78.3,22.62,0.57
2018-07-16T07:00:00,40.846951,-73.933641,288.9,26.49,28.34,80.28,21.7,0.57
2018-07-16T08:00:00,40.846951,-73.933641,287.34,36.98,25.99,83.62,20.27,0.56
2018-07-16T09:00:00,40.846951,-73.933641,247.41,26.07,23.7,86.67,16.45,0.56
2018-07-16T10:00:00,40.846951,-73.933641,217.46,44.0,20.87,92.44,16.84,0.53
2018-07-16T11:00:00,40.846951,-73.933641,231.93,44.3,23.45,98.79,19.79,0.45
